Player,G#,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Lebron,3,1,45:37:00,15,27,0.556,4,9,0.444,5,6,0.833,3,8,11,9,1,1,5,2,39,32.4
Lebron,4,1,40:46:00,11,22,0.5,3,8,0.375,6,10,0.6,1,9,10,11,1,0,2,2,31,27.7
Lebron,5,1,46:13:00,19,30,0.633,2,5,0.4,1,4,0.25,2,11,13,8,2,1,2,3,41,36.2
Lebron,1,1,43:56:00,7,17,0.412,0,4,0,10,14,0.714,3,7,10,12,1,1,3,2,24,23.8
Lebron,2,1,39:53:00,17,24,0.708,2,5,0.4,10,13,0.769,1,11,12,5,2,0,3,1,46,40.9
Lebron,3,1,41:41:00,10,22,0.455,4,7,0.571,4,6,0.667,3,9,12,8,1,1,6,1,28,21.5
Lebron,4,1,46:09:00,12,22,0.545,0,5,0,8,9,0.889,2,11,13,7,0,2,1,3,32,29.8
Lebron,5,1,41:49:00,14,24,0.583,1,4,0.25,15,15,1,3,7,10,8,1,1,5,3,44,38.1
Lebron,6,1,31:11:00,7,16,0.438,3,6,0.5,5,5,1,0,5,5,7,1,2,4,3,22,17.2
Lebron,7,1,43:25:00,16,25,0.64,2,3,0.667,11,15,0.733,2,6,8,7,4,0,4,4,45,38.8
Lebron,1,1,46:56:00,12,30,0.4,1,8,0.125,1,6,0.167,0,11,11,13,1,2,1,2,26,20.8
Lebron,2,1,40:30:00,19,28,0.679,1,3,0.333,4,8,0.5,1,7,8,14,1,0,1,1,43,41.6
Lebron,3,1,41:16:00,14,26,0.538,1,4,0.25,9,11,0.818,1,5,6,7,3,1,4,1,38,31
Lebron,4,1,38:24:00,12,19,0.632,0,3,0,5,8,0.625,0,8,8,11,2,1,2,2,29,29.3
Lebron,1,1,36:07:00,5,16,0.313,0,5,0,5,6,0.833,0,7,7,9,0,2,7,1,15,7.8
Lebron,2,1,38:46:00,16,29,0.552,5,11,0.455,5,10,0.5,1,9,10,12,0,1,6,3,42,31.4
Lebron,3,1,37:30:00,8,12,0.667,3,3,1,8,10,0.8,1,4,5,12,2,2,3,3,27,30.5
Lebron,4,1,41:53:00,17,28,0.607,1,4,0.25,9,13,0.692,1,4,5,3,2,0,7,3,44,27.4
Lebron,5,1,39:16:00,11,22,0.5,1,6,0.167,3,4,0.75,0,10,10,5,1,0,6,2,26,15.3
Lebron,6,1,46:06:00,17,33,0.515,5,7,0.714,7,11,0.636,3,8,11,9,3,1,3,2,46,38.8
Lebron,7,1,48:00:00,12,24,0.5,3,8,0.375,8,11,0.727,0,15,15,9,0,2,8,4,35,24.4
Lebron,1,1,47:32:00,19,32,0.594,3,7,0.429,10,11,0.909,4,4,8,8,1,1,5,2,51,41.3
Lebron,2,1,43:51:00,10,20,0.5,2,4,0.5,7,9,0.778,1,8,9,13,2,0,5,2,29,26.6
Lebron,3,1,46:52:00,13,28,0.464,1,6,0.167,6,7,0.857,3,7,10,11,2,2,4,2,33,28.7
Lebron,4,1,40:34:00,7,13,0.538,0,1,0,9,11,0.818,1,6,7,8,0,1,6,5,23,16.7
MJ,1,1,44:00:00,7,19,0.368,0,1,0,9,10,0.9,1,3,4,10,3,0,1,3,23,21.5
MJ,2,1,43:00:00,9,17,0.529,1,4,0.25,11,12,0.917,1,3,4,12,2,0,7,5,30,24.3
MJ,3,1,42:00:00,12,26,0.462,0,1,0,11,16,0.688,3,5,8,7,4,1,3,4,35,28.2
MJ,4,1,42:00:00,6,16,0.375,0,2,0,17,20,0.85,2,5,7,5,2,3,4,3,29,24.3
MJ,1,1,43:00:00,18,36,0.5,0,0,,13,15,0.867,0,4,4,2,2,1,5,3,49,29.3
MJ,2,1,53:00:00,22,41,0.537,0,0,,19,21,0.905,1,4,5,6,3,2,4,4,63,47.2
MJ,3,1,39:00:00,8,18,0.444,1,1,1,2,3,0.667,4,6,10,9,2,1,5,6,19,15.4
MJ,1,1,44:00:00,12,25,0.48,0,1,0,11,11,1,0,6,6,7,4,2,2,4,35,30.8
MJ,2,1,45:00:00,14,29,0.483,2,3,0.667,12,14,0.857,1,3,4,4,0,4,4,3,42,28.5
MJ,3,1,39:00:00,9,30,0.3,0,1,0,12,14,0.857,6,5,11,7,2,1,2,4,30,21.5
MJ,1,1,44:00:00,19,35,0.543,0,0,,12,12,1,1,6,7,2,2,2,5,3,50,34.2
MJ,2,1,44:00:00,24,45,0.533,0,0,,7,7,1,3,3,6,3,4,1,1,4,55,40.3
MJ,3,1,44:00:00,12,25,0.48,0,0,,14,15,0.933,2,3,5,9,2,1,4,5,38,30.2
MJ,4,1,42:00:00,18,25,0.72,0,0,,8,9,0.889,2,3,5,4,4,2,4,6,44,37.4
MJ,5,1,43:00:00,12,22,0.545,0,0,,15,18,0.833,1,3,4,6,2,2,7,4,39,27.8
MJ,1,1,40:00:00,10,22,0.455,0,1,0,9,10,0.9,5,6,11,6,0,1,5,4,29,20.8
MJ,2,1,44:00:00,14,22,0.636,0,0,,8,10,0.8,4,7,11,1,1,1,2,5,36,28.7
MJ,3,1,38:00:00,8,20,0.4,0,0,,8,9,0.889,1,6,7,3,1,1,5,3,24,12.9
MJ,4,1,45:00:00,11,22,0.5,0,0,,1,2,0.5,2,5,7,5,6,0,3,0,23,21
MJ,5,1,43:00:00,10,22,0.455,1,2,0.5,4,7,0.571,2,6,8,8,2,0,3,4,25,18.6
MJ,1,1,40:00:00,12,21,0.571,0,1,0,7,8,0.875,0,5,5,11,4,1,6,5,31,26.6
MJ,2,1,44:00:00,10,22,0.455,0,1,0,10,10,1,3,2,5,10,2,0,7,2,30,22.5
MJ,3,1,39:00:00,18,34,0.529,1,1,1,7,9,0.778,2,5,7,10,5,1,5,4,44,35.6
MJ,4,1,43:00:00,14,28,0.5,0,1,0,22,27,0.815,0,3,3,4,3,0,1,6,50,37.3
MJ,5,1,44:00:00,17,32,0.531,1,1,1,9,13,0.692,3,6,9,6,1,0,2,3,44,32.7
MJ,1,1,46:00:00,11,17,0.647,1,2,0.5,11,11,1,2,8,10,12,2,0,6,5,34,32.7
MJ,2,1,34:00:00,7,17,0.412,0,2,0,1,4,0.25,2,6,8,3,1,0,1,4,15,8.4
MJ,3,1,39:00:00,14,25,0.56,1,2,0.5,11,13,0.846,2,13,15,9,6,1,3,3,40,41.4
MJ,4,1,42:00:00,12,18,0.667,0,1,0,23,28,0.821,0,11,11,6,1,2,6,3,47,39.9
MJ,5,1,43:00:00,13,30,0.433,1,3,0.333,11,15,0.733,5,3,8,10,5,1,3,2,38,33.9
MJ,6,1,45:00:00,14,22,0.636,1,3,0.333,11,12,0.917,1,4,5,10,0,4,6,3,40,34.3
MJ,1,1,45:00:00,10,29,0.345,2,6,0.333,10,13,0.769,2,9,11,4,0,0,3,5,32,16.4
MJ,2,1,38:00:00,9,20,0.45,0,2,0,9,11,0.818,1,3,4,4,2,1,4,5,27,16.9
MJ,3,1,45:00:00,16,26,0.615,0,3,0,14,15,0.933,3,4,7,5,5,0,2,2,46,42.8
MJ,4,1,43:00:00,5,15,0.333,1,3,0.333,12,17,0.706,0,2,2,4,1,0,1,5,23,13.9
MJ,5,1,46:00:00,4,8,0.5,0,1,0,10,11,0.909,0,5,5,9,1,0,4,3,18,17.2
MJ,6,1,42:00:00,13,26,0.5,1,2,0.5,5,12,0.417,0,4,4,13,3,2,8,5,32,20.9
MJ,1,1,44:00:00,15,27,0.556,0,1,0,8,11,0.727,1,7,8,7,2,1,7,4,38,25.7
MJ,2,1,44:00:00,12,21,0.571,0,0,,12,14,0.857,1,8,9,11,5,1,5,5,36,34.8
MJ,3,1,46:00:00,20,35,0.571,1,5,0.2,7,9,0.778,2,7,9,5,1,2,5,4,48,33.5
MJ,4,1,32:00:00,8,19,0.421,0,0,,9,13,0.692,1,5,6,5,2,0,1,3,25,18.8
